feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,PERF
3.1981300176591097e-17,6.067195583792235e-17,8.116146088183788e-17,4.3350358978606185e-17,1.0406634019730268e-17,2.9682692225712068e-18,1.2498901918856258e-17,8.794923683521382e-18,2.2365154366665827e-17,7.16763570508483e-18,4.249234688102535e-10,2.34825964681973e-10,6.465626363817948e-18,1.9443062019426406e-17,8.346380456206755e-18,6.414063554186105e-18,1.97342440857748e-17,14.087726595374
3.2099842872795065e-17,2.6182224187213126e-17,6.162122000077089e-18,3.183920244794385e-18,9.927548220628214e-18,2.6350771653570498e-18,4.855167257236755e-18,1.9800589163753044e-17,8.579963642352512e-18,1.528719464735674e-17,1.8039515575072076e-10,2.107948076449246e-10,3.3917601229337766e-17,4.4690507698073994e-17,1.9592264358426486e-17,5.9672247510571876e-18,7.760315837226621e-18,14.167016717788501
3.220089510577106e-17,2.6408474251852395e-17,6.2834016302091515e-18,7.717273688700508e-18,2.3985095726865514e-17,6.4944865321021985e-18,2.818922663366575e-17,2.0209954830292207e-17,2.1276561949057205e-17,1.574961932841725e-17,1.8801866984224403e-10,2.191124957463959e-10,2.6076132869106916e-18,8.114812841816131e-18,3.524703145689011e-18,3.49862200213344e-17,4.5178801636553296e-17,14.2809776530953
3.232710594476923e-17,2.6362073515884093e-17,1.4849092665916144e-17,1.832228151624793e-17,1.003654549535133e-17,1.533543528300062e-17,1.1864917016769923e-17,4.765260515732349e-17,8.864835817770176e-18,1.5743478292300422e-17,3.9791403418759744e-10,2.138118814541302e-10,6.0242125134179816e-18,1.909982190850337e-17,4.716853135308917e-17,6.194548726927591e-18,7.982649989568937e-18,14.3344235201398
3.216118042042417e-17,2.6352288919534482e-17,6.222849871400475e-18,7.675510302521696e-18,9.967219642306146e-18,3.66655374435137e-17,2.8404922712928705e-17,8.365963917916218e-18,9.071772656980843e-18,6.739692854880791e-18,4.0223865496273697e-10,2.1895448616344825e-10,6.119866958196388e-18,8.015122474634418e-18,3.471637259230815e-18,6.214833238186226e-18,8.107187118254543e-18,14.106999300310301
1.383181022282533e-17,1.1442845138345266e-17,6.559116453942459e-18,8.0531683967877e-18,2.418579497455407e-17,1.5587704937490056e-17,5.128234367245445e-18,8.563947268153455e-18,9.352490450797796e-18,7.086241509082329e-18,4.1301955399112717e-10,4.86440449299368e-10,3.545109029049535e-17,1.914751488822384e-17,8.295215953722922e-18,1.5201494444667707e-17,8.503974414352924e-18,14.2225692948399
3.2157297798938385e-17,1.1070550059231103e-17,1.4943693495020042e-17,1.8459635748134235e-17,1.0086621494968561e-17,1.544624245683748e-17,1.1870982395673867e-17,8.396424680835999e-18,8.725341323517214e-18,6.6458889361652794e-18,1.8687119621132403e-10,2.153965121789973e-10,6.117978650860128e-18,1.893334364562213e-17,3.4687449902054147e-18,3.470102168523062e-17,8.0055183879783e-18,14.228659264691697
1.291551896868612e-17,2.5395774376586005e-17,3.4462752165310514e-17,1.7731906093218313e-17,9.659906114257546e-18,6.1537006909372536e-18,4.667986425171284e-18,7.929368503344015e-18,8.232542129190972e-18,2.597150853835337e-18,7.945282810728207e-11,2.0519231455283266e-10,1.4010229663949455e-17,3.1461861227146502e-18,3.385802758843742e-18,3.47853162853809e-17,1.8334528808648562e-17,14.2471232316425
1.3009760910251628e-17,1.0611568012656035e-17,5.960857425610047e-18,7.387082866549715e-18,5.60611017027329e-17,6.143194328386901e-18,4.764251176463555e-18,8.097598448520849e-18,8.489213298288296e-18,6.3573505530754015e-18,3.9185519633378865e-10,4.523555189050333e-10,3.346332469277164e-17,7.716223227156048e-18,3.3944091322954005e-18,1.4390610873763526e-17,7.699844745055616e-18,14.1374050654597
1.3538404216640854e-17,1.1124628122142439e-17,6.226874358473629e-18,7.641086574091066e-18,1.0244303614280083e-17,6.4963310181806286e-18,4.994828706670532e-18,4.804451565568298e-17,2.1221194235441634e-17,1.604561795869944e-17,1.8680531211759242e-10,4.76149253714501e-10,6.197465278204787e-18,1.9042410838940296e-17,3.508674590152718e-18,6.216920059681967e-18,8.152915742166861e-18,14.3494044625002
7.22951716078285e-157,5.977334492990527e-157,2.372358072258686e-157,2.18582069107889e-157,2.774599801140739e-157,3.2253225227121586e-158,6.372882871205877e-158,3.195802554314939e-157,1.0682294874596081e-157,2.347135857507234e-157,1.772447767637539e-158,1.8003207840506294e-158,5.871710516761032e-157,1.2728424820719377e-157,5.181592592915825e-158,1.317146830726026e-157,1.4318580197025167e-157,14.4001940098352
2.135108037527064e-16,1.8476690546977314e-16,1.3172978278189487e-16,1.264670535477835e-16,1.3754877933227942e-16,8.737122966517196e-17,8.849109885054476e-17,1.3138587987030888e-16,1.1881046927010856e-16,9.963810935723708e-17,2.1362093644865537e-09,2.526404619717535e-09,1.0890053596407557e-16,1.0728834367385598e-16,6.569133836661883e-17,1.297538997342651e-16,1.1045898477351956e-16,13.695211425291701
7.525523387828888e-17,6.523698487980549e-17,6.890971560700809e-17,9.698730262537909e-17,1.128344134249343e-16,3.458386133035143e-17,4.733375371697907e-17,6.906766296815258e-17,2.8316265224259564e-17,1.2701445083465308e-17,9.628080932983087e-10,8.274458450496109e-10,1.325280364196933e-17,3.9298278725297074e-17,3.673273738536286e-17,2.157280918264368e-17,3.577917042924466e-17,13.7019234878403
4.7652982581451516e-17,4.082268459234649e-17,1.2648195035413223e-17,1.139916439940607e-17,5.026592934428407e-18,4.142004832041154e-18,1.0438969879421285e-17,1.1999710937238957e-17,2.941982164261973e-17,1.57262364138881e-17,6.289064666899479e-10,1.9567397567943233e-10,5.546530712547814e-18,2.593688681094918e-17,2.4012541224610935e-18,1.936652596864232e-17,2.4040079239495568e-17,14.2376989088668
1.311634714137891e-17,1.1099986902607192e-17,8.382248962826881e-18,6.902071559271392e-18,1.085676919386813e-17,1.456521359825014e-17,2.317450601272689e-17,6.817628441563802e-18,1.53794183842445e-17,3.5032247415783115e-17,1.9628908567056532e-10,8.097010776902231e-10,1.0201653427461652e-17,1.1361235502767268e-17,2.9210726745573605e-18,4.216482244971258e-17,6.025463768930669e-18,13.3587252315413
2.437162252484082e-17,2.08028421992202e-17,7.808375788930356e-18,1.4391336208574407e-17,1.3262708763589611e-17,5.049342183896486e-18,6.133195171481783e-18,7.197490183733614e-18,7.090874710067177e-17,6.947312302798327e-18,1.997266890214663e-10,4.2265827325990873e-10,1.3261083401326416e-17,1.2589409106561985e-17,7.195269532570205e-18,2.0695281847334125e-17,2.2066253229603536e-17,13.334828232995699
7.865641109351118e-18,6.757985675648342e-18,1.1607669392368376e-17,1.2188872327858288e-17,6.939041764430638e-18,3.519792679979827e-18,2.3128299824149506e-17,1.6270003505053216e-17,1.1353214926284042e-17,9.716047977215925e-18,7.306535677763983e-10,2.2044710538637263e-10,4.610584029481961e-18,2.2595321383951982e-17,3.031881270689975e-17,1.1767003589969033e-17,1.6242947339751772e-17,13.4993184178456
