HostnameLookups,KeepAlive,EnableSendfile,FollowSymLinks,AccessLog,ExtendedStatus,InMemory,Handle,PERF
1,1,1,1,0,1,0,1,1200
0,0,1,1,0,1,0,0,1170
1,1,1,0,1,0,1,0,1890
0,1,0,1,1,1,0,1,1230
1,0,1,0,1,0,0,0,930
1,0,0,0,1,1,0,0,840
1,1,1,1,1,1,0,1,870
1,1,0,0,0,0,0,1,1140
1,1,0,0,0,1,0,0,1830
1,1,1,0,0,0,0,1,1170
1,1,1,1,1,0,0,0,1920
0,1,1,0,0,0,0,1,1290
1,1,1,0,0,0,0,0,2130
0,0,0,0,0,1,0,1,1080
1,0,0,0,1,1,0,1,870
1,1,0,1,0,0,1,0,2280
1,1,1,1,0,1,1,0,2190
0,0,0,0,1,0,1,0,1260
0,1,0,1,1,0,0,1,1350
1,0,0,1,0,0,0,0,960
0,0,0,0,0,0,1,0,1410
0,0,0,0,1,1,0,1,1080
1,1,0,0,0,1,0,1,1020
0,0,1,1,1,0,1,0,1260
0,0,1,1,0,1,1,0,1380
1,1,0,0,1,1,0,1,1140
1,1,0,0,0,0,0,0,1950
1,1,1,1,0,0,0,0,2220
0,0,0,1,1,1,1,0,1230
1,0,1,0,1,1,0,1,870
0,1,1,0,1,0,0,0,1980
1,1,0,1,0,0,0,1,1320
0,0,0,0,0,1,1,0,1290
0,1,0,0,0,1,0,1,1350
1,0,1,1,0,0,0,0,1080
1,0,0,1,1,0,1,0,1020
0,1,1,1,1,0,0,0,2040
1,0,1,0,1,1,0,0,900
1,1,0,1,1,1,1,0,1920
1,1,1,0,1,1,1,0,1860
