OldIO,NewIO,NIOBase,NIOType,ChunkedNIO,SingleWriteNIO,DirectNIO,S100MiB,S1MiB,INCompressor,Verifier,ITracing,Tracing,TracingLevel,Severe,Finest,Statistics,PERF
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-0.0,-0.0,1.0,1.0,1.0,-0.0,1.0,0.0,15844.705653011799
1.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,1.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.0,3868.3443696051836
1.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,1.0,-0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,3128.6894542872906
-0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,-0.0,1.0,-0.0,1.0,1.0,1.0,1.0,0.0,0.0,4536.649482965469
1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.0,1.0,5183.85517680645
1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,3926.646295443177
0.0,1.0,1.0,1.0,-0.0,1.0,0.0,0.0,1.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,7045.592323869467
0.0,1.0,1.0,1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,962.8162991926074
0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,2827.551073998213
1.0,0.0,0.0,0.0,-0.0,0.0,0.0,1.0,-0.0,1.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,3497.270591273904
1.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,1.0,0.0,1.0,-0.0,1.0,1.0,1.0,1.0,0.0,1.0,3494.963344886899
1.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,-0.0,1.0,0.0,-1.0,-1.0,-1.0,-0.0,-0.0,0.0,3499.2284111380577
1.0,0.0,0.0,0.0,1.0,-0.0,0.0,1.0,0.0,1.0,-0.0,1.0,1.0,1.0,1.0,-0.0,0.0,2819.8884916752577
1.0,0.0,0.0,0.0,0.0,0.0,-0.0,1.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,2305.976124599576
1.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.0,0.0,5695.505970954895
-0.0,1.0,1.0,1.0,1.0,0.0,-0.0,0.0,1.0,1.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,4131.759173244238
1.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,1.0,-0.0,-0.0,-0.0,1.0,1.0,1.0,0.0,0.0,0.0,1457.6286883950233
2.0,-1.0,-1.0,-1.0,-0.0,-1.0,-0.0,0.0,1.0,-0.0,-0.0,-1.0,-1.0,-1.0,-0.0,-0.0,-0.0,2875.0779922306538
0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,7534.153956323862
1.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,1.0,0.0,-0.0,1.0,1.0,1.0,0.0,1.0,0.0,12632.867419660091
1.0,-0.0,0.0,0.0,0.0,-0.0,0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,2576.2527516782284
2.0,-1.0,-1.0,-1.0,-0.0,-0.0,-0.0,0.0,1.0,1.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.0,5074.6504256129265
0.0,1.0,1.0,1.0,-0.0,1.0,0.0,-0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,5670.96360746026
2.0,-1.0,-1.0,-1.0,0.0,-1.0,-0.0,1.0,-0.0,1.0,-0.0,-1.0,-1.0,-1.0,-1.0,-0.0,1.0,1489.8341253250837
1.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,1.0,3438.1978644132614
1.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,1.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,1.0,4442.845036625862
1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.0,4226.731976151466
1.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1727.3761417865753
1.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,1.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8672.146513223648
-0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,-0.0,0.0,-0.0,1.0,1.0,1.0,1.0,-0.0,0.0,4024.8923629671335
1.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,5132.863951206207
0.0,1.0,1.0,1.0,1.0,-0.0,0.0,-0.0,1.0,1.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,5241.800063878298
-0.0,1.0,1.0,1.0,0.0,1.0,-0.0,1.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,4353.508731544018
0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.0,1.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,2362.786541864276
0.0,1.0,1.0,1.0,0.0,0.0,-0.0,1.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.0,2540.0182280391455
0.0,1.0,1.0,1.0,0.0,0.0,-0.0,-0.0,1.0,-1.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,5481.3416447639465
1.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,1.0,0.0,-0.0,0.0,1.0,1.0,1.0,1.0,-0.0,1.0,3921.9402101933956
1.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,1.0,1.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,4606.729268074036
-0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,-0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,4281.364800721407
2.0,-1.0,-1.0,-1.0,0.0,-1.0,-0.0,0.0,1.0,1.0,2.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,4388.888473927975
