Solver,SeqSOR,CGSolver,BiCGSTABSolver,LoopSolver,SeqGS,GradientSolver,Precon,cells,post,pre,performance
1.0,0.0,1.0,-0.0,-0.0,1.0,0.0,1.0,53.0,-0.0,5.0,13406.415935135952
1.0,1.0,-0.0,-0.0,1.0,-0.0,-0.0,1.0,59.0,1.0,-2.0,26551.780096610528
1.0,0.0,-0.0,0.0,1.0,1.0,-0.0,1.0,52.0,2.0,7.0,7229.848718902894
1.0,-0.0,1.0,-0.0,-0.0,1.0,-0.0,1.0,55.0,1.0,4.0,16118.19093742956
1.0,0.0,-0.0,-0.0,1.0,1.0,-0.0,1.0,51.0,-1.0,2.0,14184.10856825901
1.0,1.0,0.0,0.0,1.0,-0.0,0.0,1.0,52.0,-0.0,-1.0,22634.822916494417
1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,53.0,3.0,3.0,6535.086438098922
1.0,0.0,-0.0,1.0,-0.0,1.0,-0.0,1.0,48.0,6.0,4.0,4257.600564782853
1.0,-0.0,0.0,-0.0,-0.0,1.0,1.0,1.0,53.0,4.0,2.0,9155.789163355688
1.0,-0.0,-0.0,0.0,1.0,1.0,-0.0,1.0,53.0,-0.0,2.0,11198.103368926208
1.0,-0.0,1.0,-0.0,0.0,1.0,-0.0,1.0,59.0,-2.0,8.0,13455.021724706143
1.0,1.0,-0.0,0.0,0.0,0.0,1.0,1.0,54.0,0.0,8.0,12009.030204835002
1.0,1.0,-0.0,0.0,1.0,-0.0,-0.0,1.0,55.0,-2.0,-2.0,29357.265393769103
1.0,-0.0,-0.0,-0.0,0.0,1.0,1.0,1.0,56.0,5.0,6.0,8977.85283878318
1.0,1.0,-0.0,1.0,-0.0,-0.0,-0.0,1.0,51.0,2.0,-1.0,15138.335301265864
1.0,-0.0,-0.0,0.0,0.0,1.0,1.0,1.0,55.0,3.0,-0.0,13247.265377261063
1.0,0.0,1.0,-0.0,-0.0,1.0,-0.0,1.0,51.0,2.0,7.0,12260.792920436497
1.0,1.0,1.0,-0.0,-0.0,-0.0,-0.0,1.0,51.0,8.0,5.0,67.77630770720175
1.0,0.0,-0.0,-0.0,-0.0,1.0,1.0,1.0,56.0,5.0,2.0,10858.42435398437
1.0,-0.0,1.0,-0.0,-0.0,1.0,-0.0,1.0,56.0,1.0,4.0,12458.785024416926
1.0,0.0,0.0,0.0,-0.0,1.0,1.0,1.0,51.0,4.0,3.0,6926.043480009958
1.0,1.0,-0.0,-0.0,1.0,0.0,0.0,1.0,47.0,0.0,4.0,9385.547139443936
1.0,1.0,-0.0,-0.0,-0.0,-0.0,1.0,1.0,53.0,4.0,2.0,9093.73119384061
1.0,0.0,0.0,0.0,-0.0,1.0,1.0,1.0,56.0,3.0,1.0,14070.30360811012
1.0,1.0,-0.0,1.0,-0.0,-0.0,-0.0,1.0,53.0,2.0,6.0,9455.796029880536
1.0,-0.0,-0.0,1.0,-0.0,1.0,-0.0,1.0,57.0,3.0,6.0,11856.104497990864
1.0,1.0,0.0,0.0,1.0,0.0,-0.0,1.0,55.0,2.0,-2.0,15427.72399048901
1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,53.0,8.0,3.0,6896.080357113693
1.0,-0.0,-0.0,1.0,-0.0,1.0,-0.0,1.0,51.0,8.0,5.0,9890.77499429839
1.0,1.0,1.0,0.0,-0.0,0.0,0.0,1.0,55.0,3.0,2.0,11810.118838745835
1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,49.0,-0.0,3.0,10582.652720820372
1.0,-0.0,-0.0,1.0,-0.0,1.0,-0.0,1.0,56.0,5.0,4.0,6735.818440902605
1.0,1.0,1.0,0.0,-0.0,0.0,-0.0,1.0,56.0,3.0,2.0,10246.621978765246
1.0,0.0,0.0,-0.0,0.0,1.0,1.0,1.0,53.0,3.0,2.0,6463.98439154279
1.0,0.0,-0.0,1.0,-0.0,1.0,-0.0,1.0,53.0,3.0,-1.0,14588.933868988177
1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,56.0,1.0,2.0,12991.593853403627
1.0,1.0,0.0,1.0,0.0,-0.0,-0.0,1.0,54.0,2.0,-1.0,23016.47223512509
1.0,0.0,-0.0,1.0,-0.0,1.0,-0.0,1.0,54.0,5.0,-1.0,9995.246566488753
1.0,-0.0,-0.0,0.0,1.0,1.0,-0.0,1.0,56.0,8.0,2.0,9568.274981657682
1.0,1.0,-0.0,-0.0,1.0,-0.0,-0.0,1.0,52.0,4.0,4.0,9908.588614095906
1.0,1.0,-0.0,1.0,1.0,-0.0,-0.0,1.0,54.0,-1.0,-2.0,30092.447987244384
1.0,-0.0,0.0,-0.0,1.0,1.0,-0.0,1.0,52.0,-0.0,8.0,9884.016629048861
1.0,-0.0,-0.0,0.0,0.0,1.0,1.0,1.0,51.0,6.0,-0.0,6508.079419496496
1.0,1.0,-0.0,1.0,-0.0,0.0,-0.0,1.0,50.0,7.0,4.0,5475.607304511538
1.0,-0.0,0.0,-0.0,0.0,1.0,1.0,1.0,50.0,-1.0,9.0,10447.020340752813
1.0,1.0,-0.0,-0.0,0.0,0.0,1.0,1.0,56.0,-1.0,-1.0,49224.11855083874
1.0,0.0,-0.0,-0.0,-0.0,1.0,1.0,1.0,50.0,2.0,1.0,10531.90120861227
1.0,-0.0,1.0,0.0,0.0,1.0,-0.0,1.0,56.0,1.0,7.0,13683.417139699202
1.0,1.0,-0.0,-0.0,1.0,0.0,0.0,1.0,50.0,3.0,5.0,8102.556656889617
1.0,1.0,-0.0,0.0,1.0,-0.0,0.0,1.0,50.0,4.0,2.0,9766.063323647848
1.0,0.0,1.0,-0.0,-0.0,1.0,-0.0,1.0,53.0,1.0,3.0,9755.613133330484
