gvn,instcombine,inline,jump_threading,simplifycfg,sccp,print_used_types,ipsccp,iv_users,licm,PERF
0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,232.63666669999998
1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,249.5766667
0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,219.33333330000002
0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,214.24333330000002
0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,249.3
0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,236.3466667
0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,263.1866667
1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,261.6766667
1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,255.64333330000002
0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,206.22666669999998
1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,243.3666667
0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,263.31
1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,241.0166667
0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,222.6266667
0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,215.4833333
1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,242.56
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,237.1333333
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,224.43
0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,228.25666669999998
1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,248.07
1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,267.04333330000003
1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,221.33333330000002
1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,254.39333330000002
1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,250.5333333
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,207.7466667
1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,239.5633333
1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,253.57
0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,216.2966667
0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,232.29
0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,265.8166667
0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,233.2766667
0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,234.0633333
0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,213.6033333
1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,264.1666667
1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,252.1266667
0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,217.55
1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,250.8766667
0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,232.52333330000002
1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,252.14
1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,234.3366667
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,215.60666669999998
1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,242.8066667
0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,245.4966667
0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,222.5566667
0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,231.2066667
1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,235.85
0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,209.58333330000002
1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,224.3366667
0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,262.0066667
0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,263.58
