OperatingSystemCharacteristics,SQLITE_SECURE_DELETE,ChooseSQLITE_TEMP_STORE,SQLITE_TEMP_STOREzero,SQLITE_TEMP_STOREone,SQLITE_TEMP_STOREtwo,SQLITE_TEMP_STOREthree,EnableFeatures,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,DisableFeatures,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,OmitFeatures,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,Options,SetAutoVacuum,AutoVacuumOff,AutoVacuumOn,SetCacheSize,StandardCacheSize,LowerCacheSize,HigherCacheSize,LockingMode,ExclusiveLock,NormalLockingMode,PageSize,StandardPageSize,LowerPageSize,HigherPageSize,HighestPageSize,PERF
-1.0,-1.0,1.0,-1.0,0.0,-0.0,1.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,3.0,0.0,-0.0,-2.0,-1.0,1.0,-2.0,2.0,1.0,2.0,-1.0,1.0,1.0,1.0,-1.0,1.0,0.0,1.0,0.0,1.0,2.0,-0.0,0.0,-1.0,3.858903234658847
-1.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-2.0,1.0,-1.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,-2.0,-3.0,-1.0,-1.0,-1.0,0.0,1.0,1.0,-1.0,1.0,1.0,-3.0,3.0,1.0,1.0,2.0,-0.0,0.0,2.0,-2.0,0.0,1.0,15.222000097155314
1.0,-1.0,-2.0,-2.0,-0.0,-1.0,-0.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,-0.0,-1.0,-2.0,1.0,1.0,-1.0,-0.0,-2.0,-0.0,2.0,0.0,-1.0,2.0,2.0,-2.0,1.0,0.0,2.0,1.0,2.0,1.0,1.0,-0.0,-1.0,22.72616586340019
-1.0,2.0,1.0,0.0,1.0,-0.0,-0.0,-0.0,-1.0,0.0,-1.0,2.0,2.0,-0.0,-1.0,1.0,2.0,-0.0,-1.0,-0.0,3.0,-0.0,1.0,-0.0,-1.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-1.0,1.0,1.0,0.0,0.0,1.0,-0.0,-1.0,-0.9767375134557975
-0.0,-1.0,-1.0,-0.0,-1.0,2.0,-2.0,1.0,1.0,-0.0,0.0,0.0,2.0,0.0,0.0,-0.0,1.0,-0.0,1.0,0.0,-1.0,1.0,-1.0,1.0,2.0,-1.0,0.0,1.0,-0.0,2.0,-0.0,1.0,0.0,1.0,1.0,-1.0,1.0,0.0,-0.0,9.848500878475816
1.0,0.0,1.0,-1.0,1.0,-0.0,1.0,1.0,-1.0,1.0,-1.0,0.0,1.0,-0.0,-1.0,0.0,1.0,-2.0,2.0,2.0,-1.0,-0.0,-2.0,-1.0,-1.0,0.0,1.0,-0.0,1.0,1.0,-1.0,0.0,2.0,-1.0,-1.0,3.0,-0.0,0.0,-1.0,9.184085476230043
0.0,0.0,1.0,1.0,-1.0,1.0,0.0,2.0,0.0,-3.0,1.0,1.0,2.0,0.0,1.0,2.0,0.0,-0.0,1.0,0.0,1.0,-1.0,-3.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,-0.0,-0.0,2.0,-1.0,1.0,1.0,-1.0,0.0,1.0,-0.24448043888241744
-3.0,-2.0,-1.0,-0.0,-2.0,-1.0,2.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,0.0,2.0,-0.0,2.0,-1.0,0.0,0.0,-1.0,2.0,-1.0,2.0,1.0,-2.0,2.0,-1.0,2.0,0.0,-1.0,2.0,-1.0,0.0,-1.0,-1.0,2.0,1.0,-1.0,-4.0254685428501675
1.0,1.0,-2.0,-1.0,-2.0,0.0,1.0,-0.0,2.0,0.0,1.0,3.0,-2.0,1.0,0.0,-2.0,1.0,-0.0,1.0,2.0,-0.0,-0.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,-1.0,2.0,1.0,1.0,-1.0,0.0,1.0,-0.0,0.0,1.0,25.4727358049538
1.0,-1.0,-1.0,-0.0,-0.0,-1.0,0.0,-0.0,-0.0,-0.0,-0.0,-1.0,0.0,1.0,2.0,-1.0,-1.0,0.0,0.0,-2.0,-0.0,-1.0,-1.0,1.0,0.0,1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,2.0,1.0,2.0,-1.0,0.0,-1.0,14.987664201012525
0.0,-2.0,1.0,-1.0,2.0,-0.0,-1.0,-0.0,2.0,-2.0,1.0,1.0,1.0,1.0,1.0,-1.0,0.0,2.0,2.0,-1.0,-0.0,2.0,0.0,2.0,-0.0,0.0,0.0,1.0,0.0,1.0,-1.0,2.0,-1.0,1.0,0.0,-0.0,0.0,0.0,1.0,6.431997446727134
1.0,-1.0,-1.0,-1.0,-0.0,-1.0,1.0,1.0,1.0,3.0,1.0,1.0,-1.0,1.0,-2.0,2.0,-1.0,-1.0,-0.0,-2.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,-1.0,2.0,0.0,1.0,1.0,0.0,1.0,-0.0,-0.0,1.0,1.0,8.42727605714968
-2.0,-0.0,0.0,-2.0,0.0,2.0,-0.0,1.0,0.0,-2.0,1.0,-1.0,1.0,-0.0,-0.0,-0.0,3.0,1.0,-1.0,-1.0,-3.0,-2.0,0.0,0.0,1.0,1.0,0.0,-1.0,0.0,3.0,-2.0,-1.0,1.0,-0.0,1.0,-0.0,0.0,0.0,0.0,-11.656910293756638
-0.0,-1.0,1.0,-0.0,-0.0,-1.0,3.0,-0.0,-1.0,3.0,1.0,-1.0,-1.0,-0.0,-2.0,-0.0,-1.0,1.0,-0.0,-0.0,-1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,-0.0,0.0,1.0,1.0,2.0,-2.0,1.0,0.0,-1.0,0.0,1.0,26.725440777604543
-0.0,1.0,-0.0,1.0,1.0,-1.0,-2.0,-1.0,-1.0,-1.0,-1.0,-2.0,-1.0,0.0,1.0,-0.0,-0.0,1.0,1.0,-0.0,-0.0,1.0,1.0,0.0,-2.0,1.0,-0.0,-0.0,1.0,0.0,-0.0,0.0,1.0,-1.0,-1.0,-1.0,1.0,0.0,1.0,-0.3935039514596926
-0.0,-0.0,-1.0,-2.0,0.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,-3.0,3.0,0.0,0.0,2.0,1.0,-1.0,2.0,-1.0,-1.0,-1.0,3.0,1.0,-0.0,0.0,1.0,0.0,2.0,0.0,-1.0,0.0,0.0,1.0,1.0,-1.0,-0.0,1.0,1.0,11.85842423858618
-0.0,-2.0,0.0,-2.0,-1.0,1.0,2.0,0.0,-1.0,0.0,0.0,1.0,1.0,0.0,-0.0,2.0,-0.0,-1.0,-1.0,-0.0,-1.0,-1.0,0.0,1.0,2.0,-1.0,0.0,1.0,0.0,1.0,-0.0,1.0,1.0,1.0,1.0,0.0,1.0,-0.0,-0.0,13.347069139076455
0.0,0.0,1.0,1.0,0.0,0.0,-0.0,0.0,1.0,1.0,1.0,-0.0,0.0,1.0,-2.0,2.0,2.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,-0.0,0.0,1.0,1.0,-0.0,1.0,1.0,-1.0,0.0,0.0,4.133826257272101
1.0,2.0,-0.0,2.0,-1.0,-0.0,-2.0,0.0,-0.0,1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,0.0,0.0,-1.0,-2.0,2.0,-0.0,-1.0,2.0,0.0,-1.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,-1.0,0.0,-0.0,0.0,46.01422044796348
0.0,-1.0,-1.0,1.0,-2.0,-1.0,1.0,0.0,3.0,-2.0,-0.0,-2.0,3.0,0.0,-1.0,-1.0,-1.0,0.0,-2.0,1.0,1.0,0.0,1.0,1.0,1.0,-1.0,0.0,2.0,2.0,-1.0,-0.0,1.0,1.0,1.0,1.0,-2.0,1.0,-0.0,1.0,16.263170902156315
0.0,0.0,-0.0,-0.0,-0.0,-0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,-0.0,0.0,2.0,-0.0,2.0,-1.0,-1.0,0.0,0.0,0.0,-0.0,0.0,-0.0,1.0,1.0,0.5726293651672018
-1.0,-1.0,1.0,-0.0,1.0,1.0,-2.0,-0.0,-0.0,-1.0,0.0,1.0,-0.0,-1.0,1.0,-1.0,1.0,1.0,-0.0,2.0,-0.0,1.0,1.0,0.0,2.0,2.0,-2.0,0.0,0.0,1.0,0.0,0.0,2.0,-1.0,1.0,2.0,-2.0,0.0,0.0,12.796128033749289
0.0,-1.0,0.0,0.0,1.0,-0.0,-1.0,1.0,-0.0,1.0,-0.0,3.0,1.0,-0.0,-1.0,-3.0,1.0,-2.0,-1.0,-1.0,-3.0,-1.0,2.0,-1.0,-1.0,-0.0,2.0,-0.0,1.0,1.0,0.0,-0.0,2.0,-0.0,-0.0,-1.0,1.0,0.0,1.0,-7.072553375012347
-1.0,-1.0,-0.0,1.0,-1.0,-0.0,1.0,0.0,0.0,-1.0,1.0,0.0,-1.0,-0.0,-1.0,0.0,1.0,-0.0,-1.0,2.0,1.0,0.0,1.0,1.0,3.0,1.0,-1.0,0.0,-0.0,1.0,1.0,0.0,2.0,-0.0,2.0,-1.0,-1.0,0.0,2.0,9.076812373811489
-0.0,-1.0,-0.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-0.0,1.0,0.0,0.0,1.0,-1.0,0.0,-0.0,2.0,-1.0,-1.0,-1.0,2.0,1.0,-0.0,-1.0,1.0,1.0,-0.0,0.0,1.0,2.0,1.0,-1.0,-1.0,-0.0,1.0,-0.0,-1.0,31.623431168149644
-0.0,-0.0,2.0,-1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,-2.0,-2.0,1.0,1.0,1.0,0.0,-2.0,-1.0,-1.0,-0.0,-1.0,0.0,1.0,2.0,1.0,-1.0,1.0,-2.0,0.0,2.0,1.0,2.0,-0.0,1.0,1.0,-2.0,-0.0,1.0,-1.5444525414379664
1.0,-0.0,1.0,-1.0,2.0,-2.0,1.0,-0.0,1.0,-2.0,0.0,1.0,-1.0,0.0,1.0,1.0,0.0,-1.0,1.0,1.0,-0.0,1.0,-0.0,1.0,1.0,-1.0,1.0,1.0,-1.0,2.0,-1.0,1.0,2.0,-1.0,0.0,-2.0,1.0,1.0,1.0,30.494443607979687
0.0,-1.0,0.0,0.0,-0.0,-1.0,2.0,-1.0,-2.0,-0.0,0.0,-1.0,0.0,0.0,-1.0,1.0,-1.0,3.0,0.0,0.0,-1.0,0.0,1.0,1.0,-1.0,1.0,1.0,0.0,1.0,-1.0,1.0,1.0,0.0,-0.0,-0.0,-0.0,1.0,0.0,-0.0,22.703552200658187
1.0,0.0,-0.0,0.0,0.0,-1.0,-0.0,-1.0,-3.0,-1.0,-0.0,-1.0,0.0,1.0,-0.0,1.0,-0.0,1.0,-1.0,4.0,-2.0,-0.0,2.0,2.0,-1.0,1.0,0.0,1.0,-1.0,-0.0,1.0,2.0,-1.0,1.0,-0.0,1.0,-1.0,-0.0,-0.0,13.01916505897615
-1.0,-2.0,-1.0,3.0,0.0,-0.0,-2.0,0.0,-0.0,-1.0,2.0,2.0,-2.0,1.0,1.0,0.0,1.0,0.0,-2.0,0.0,0.0,1.0,-1.0,2.0,1.0,1.0,1.0,-1.0,-0.0,0.0,1.0,1.0,-1.0,-0.0,0.0,1.0,-2.0,0.0,1.0,0.7859514012729749
-1.0,-3.0,0.0,-0.0,0.0,1.0,-1.0,-1.0,2.0,-3.0,1.0,0.0,-0.0,1.0,-2.0,1.0,0.0,1.0,-1.0,3.0,1.0,-1.0,2.0,2.0,-0.0,1.0,1.0,-1.0,-1.0,1.0,1.0,2.0,-1.0,0.0,-0.0,-0.0,-0.0,0.0,1.0,16.947595903279094
1.0,1.0,-1.0,1.0,-0.0,-2.0,0.0,-1.0,-1.0,0.0,-0.0,-1.0,-1.0,-0.0,-1.0,1.0,-2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.0,0.0,-0.0,-0.0,1.0,1.0,2.0,-2.0,-0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,-1.0,30.306188796127227
0.0,-0.0,1.0,1.0,0.0,-0.0,-0.0,-1.0,-2.0,-0.0,0.0,-0.0,-1.0,1.0,-1.0,1.0,2.0,2.0,1.0,-1.0,2.0,-0.0,-2.0,1.0,-0.0,-1.0,2.0,1.0,-0.0,-0.0,1.0,2.0,-0.0,1.0,0.0,1.0,-1.0,0.0,1.0,13.755825571215768
1.0,2.0,-1.0,0.0,-1.0,1.0,-1.0,-0.0,-2.0,-0.0,0.0,-3.0,-0.0,-0.0,2.0,-1.0,-1.0,-1.0,-0.0,-2.0,-1.0,0.0,2.0,0.0,-0.0,1.0,1.0,0.0,-1.0,2.0,-0.0,0.0,0.0,0.0,-0.0,-1.0,2.0,1.0,-2.0,34.747891872362935
-0.0,2.0,-1.0,-1.0,-0.0,1.0,-1.0,-0.0,2.0,0.0,0.0,1.0,-1.0,-0.0,3.0,-1.0,-1.0,1.0,0.0,0.0,-0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.0,0.0,0.0,0.0,0.0,1.0,-0.0,0.0,1.0,-1.0,0.0,1.0,17.662769157169212
-0.0,1.0,-1.0,-0.0,-1.0,-1.0,0.0,0.0,0.0,-0.0,-1.0,-0.0,2.0,0.0,-0.0,1.0,0.0,-1.0,-1.0,1.0,-0.0,1.0,2.0,0.0,-0.0,1.0,-1.0,1.0,1.0,1.0,-0.0,1.0,1.0,0.0,-0.0,-1.0,0.0,1.0,1.0,4.753977300333203
0.0,2.0,3.0,2.0,-0.0,1.0,0.0,0.0,0.0,-0.0,0.0,-0.0,2.0,0.0,-1.0,-2.0,0.0,0.0,1.0,-2.0,-1.0,2.0,1.0,1.0,1.0,0.0,-1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,-1.0,-0.0,-0.0,1.0,13.526612227910952
-1.0,-0.0,0.0,-1.0,1.0,2.0,-2.0,-1.0,-1.0,0.0,0.0,0.0,3.0,-0.0,1.0,0.0,2.0,-2.0,1.0,-0.0,-1.0,-1.0,0.0,1.0,1.0,0.0,-0.0,0.0,1.0,-1.0,1.0,1.0,-0.0,1.0,1.0,-1.0,-1.0,1.0,1.0,18.70638481693379
1.0,-2.0,-2.0,1.0,-3.0,2.0,-2.0,-1.0,-1.0,-2.0,-0.0,0.0,-1.0,0.0,-2.0,-1.0,-0.0,-3.0,1.0,-1.0,-0.0,1.0,1.0,1.0,-0.0,1.0,-1.0,1.0,-1.0,2.0,-0.0,1.0,1.0,0.0,1.0,0.0,-0.0,1.0,-0.0,21.903888666761766
-1.0,1.0,0.0,0.0,-2.0,1.0,0.0,-1.0,0.0,-0.0,-0.0,-2.0,1.0,-0.0,-0.0,0.0,-2.0,-1.0,1.0,2.0,0.0,-1.0,-1.0,0.0,0.0,-1.0,1.0,1.0,1.0,-0.0,1.0,-1.0,1.0,1.0,1.0,-1.0,0.0,-0.0,1.0,9.407278725387666
0.0,-2.0,1.0,0.0,-1.0,1.0,0.0,-0.0,0.0,0.0,-0.0,2.0,-2.0,-0.0,0.0,2.0,0.0,1.0,0.0,-2.0,3.0,2.0,0.0,1.0,-0.0,0.0,1.0,0.0,1.0,-0.0,-0.0,0.0,1.0,1.0,0.0,3.0,-1.0,0.0,-1.0,17.77065521462821
-1.0,2.0,1.0,2.0,-0.0,1.0,-2.0,-1.0,-2.0,-0.0,-1.0,-1.0,1.0,-0.0,-2.0,0.0,-0.0,1.0,-1.0,-1.0,2.0,1.0,2.0,0.0,-2.0,2.0,-2.0,0.0,1.0,-1.0,1.0,0.0,1.0,0.0,-1.0,2.0,-2.0,0.0,0.0,-1.3446719857000624
-1.0,1.0,0.0,-0.0,2.0,-2.0,0.0,-1.0,-0.0,-0.0,1.0,3.0,-1.0,-0.0,1.0,0.0,-0.0,1.0,-1.0,-1.0,1.0,0.0,-0.0,0.0,-0.0,1.0,1.0,-1.0,-1.0,0.0,2.0,-0.0,0.0,0.0,-0.0,-0.0,1.0,0.0,0.0,18.306694348063086
-2.0,-0.0,-1.0,-0.0,-2.0,-1.0,0.0,-0.0,-1.0,-0.0,-1.0,3.0,-1.0,0.0,2.0,0.0,0.0,3.0,1.0,-2.0,-1.0,1.0,1.0,1.0,1.0,-0.0,-1.0,1.0,-0.0,2.0,-0.0,1.0,0.0,2.0,0.0,1.0,-0.0,0.0,-0.0,-4.8919787543814195
-1.0,-1.0,-1.0,0.0,-2.0,-1.0,2.0,0.0,-0.0,2.0,1.0,-1.0,1.0,-0.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,0.0,1.0,-1.0,0.0,0.0,1.0,1.0,-1.0,1.0,1.0,-1.0,-0.0,-1.0,1.0,0.0,0.0,1.0,-0.0,-0.0,14.78892646488888
-1.0,0.0,1.0,1.0,1.0,-2.0,1.0,-1.0,-0.0,1.0,-0.0,2.0,-1.0,0.0,-0.0,-0.0,1.0,0.0,-1.0,1.0,1.0,1.0,1.0,1.0,0.0,-0.0,0.0,1.0,-1.0,1.0,0.0,1.0,-0.0,2.0,0.0,0.0,-2.0,0.0,2.0,11.715931097764338
-0.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,-2.0,2.0,-1.0,-1.0,-0.0,-1.0,-0.0,-1.0,-0.0,-1.0,0.0,-0.0,1.0,-0.0,-1.0,-1.0,0.0,-1.0,0.0,0.0,1.0,1.0,-2.0,1.0,1.0,-1.0,2.0,-1.0,-2.0,2.0,-0.0,0.0,18.87557035866447
-1.0,-3.0,-0.0,1.0,-1.0,-0.0,1.0,1.0,-1.0,-2.0,1.0,-1.0,-0.0,-0.0,-1.0,-1.0,-0.0,-1.0,0.0,-2.0,1.0,1.0,1.0,1.0,3.0,0.0,0.0,-0.0,0.0,1.0,0.0,0.0,1.0,-1.0,1.0,0.0,1.0,0.0,-0.0,13.077262450195652
-0.0,-2.0,1.0,2.0,-1.0,1.0,-1.0,-1.0,0.0,-0.0,0.0,2.0,-0.0,0.0,1.0,3.0,1.0,-1.0,-0.0,1.0,-2.0,0.0,0.0,1.0,0.0,-1.0,2.0,0.0,-1.0,0.0,2.0,1.0,2.0,-1.0,0.0,-1.0,-1.0,0.0,2.0,11.436658432747628
-0.0,-1.0,-0.0,0.0,-0.0,1.0,-1.0,-0.0,-1.0,1.0,-0.0,1.0,0.0,-0.0,1.0,-1.0,0.0,-3.0,1.0,-0.0,-0.0,2.0,2.0,0.0,-0.0,-1.0,1.0,0.0,0.0,-0.0,1.0,-0.0,0.0,1.0,0.0,-0.0,1.0,0.0,-1.0,7.127222297738601
-0.0,-2.0,-1.0,-1.0,-0.0,-1.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,-1.0,2.0,-1.0,-0.0,1.0,-0.0,-1.0,-1.0,0.0,0.0,-0.0,1.0,0.0,0.0,1.0,0.0,-0.0,-0.0,1.0,1.0,0.0,-1.0,1.0,0.0,-13.97779589546316
-1.0,-0.0,-1.0,0.0,-1.0,0.0,-1.0,-0.0,1.0,3.0,-0.0,1.0,0.0,0.0,-0.0,2.0,-0.0,0.0,2.0,-0.0,-2.0,1.0,1.0,1.0,1.0,1.0,-2.0,1.0,-0.0,-0.0,1.0,1.0,-1.0,2.0,1.0,2.0,-1.0,0.0,-1.0,6.000818402767517
0.0,-1.0,-1.0,-1.0,0.0,-0.0,0.0,0.0,3.0,1.0,2.0,-1.0,-3.0,0.0,-1.0,-0.0,1.0,-0.0,1.0,2.0,1.0,-1.0,-2.0,1.0,0.0,-0.0,2.0,-0.0,-0.0,1.0,0.0,0.0,0.0,0.0,1.0,-2.0,0.0,1.0,1.0,20.198275592979133
1.0,1.0,-1.0,3.0,-2.0,-2.0,1.0,0.0,-1.0,-1.0,1.0,0.0,0.0,1.0,0.0,-2.0,-2.0,-1.0,-0.0,-0.0,-1.0,-0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,-0.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-0.0,3.0,24.47325887844231
-1.0,-2.0,2.0,3.0,1.0,0.0,-1.0,0.0,-1.0,1.0,1.0,-0.0,-0.0,-1.0,0.0,1.0,-0.0,2.0,1.0,-1.0,-2.0,0.0,1.0,-2.0,-1.0,1.0,1.0,-2.0,2.0,0.0,-1.0,-3.0,1.0,-0.0,0.0,2.0,-1.0,0.0,1.0,2.215004086340008
-0.0,2.0,1.0,1.0,-0.0,0.0,0.0,-1.0,1.0,1.0,1.0,1.0,2.0,-1.0,0.0,-1.0,1.0,1.0,0.0,0.0,-1.0,-1.0,-2.0,0.0,1.0,1.0,1.0,-1.0,2.0,-0.0,-1.0,0.0,-0.0,0.0,0.0,0.0,1.0,0.0,-1.0,36.088074285785254
