Linear1D,Blocksize,bs_64x1,bs_64x2,Array2D,bs_128x8,bs_128x1,bs_128x2,CUDA,bs_256x1,bs_256x2,bs_64x4,bs_128x4,bs_32x4,OpenCL,Ldg,Linear2D,bs_64x16,TextureMemory,bs_32x2,bs_32x32,bs_32x1,LocalMemory,bs_512x1,bs_32x16,bs_512x2,bs_1024x1,bs_64x8,bs_32x8,API,bs_256x4,pixelPerThread,padding,performance
1.0,1.0,2.0,2.0,0.0,0.0,-0.0,-2.0,1.0,0.0,-1.0,0.0,-0.0,-1.0,-0.0,1.0,-0.0,0.0,1.0,-1.0,0.0,2.0,-2.0,3.0,0.0,-0.0,0.0,0.0,-1.0,1.0,0.0,8.0,31.0,39.370343272089954
1.0,1.0,-1.0,0.0,0.0,0.0,-0.0,1.0,0.0,0.0,1.0,2.0,-1.0,-0.0,1.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,1.0,-2.0,0.0,0.0,-0.0,0.0,-1.0,1.0,-0.0,7.0,-213.0,9.125097774267196
-1.0,1.0,-1.0,1.0,1.0,-0.0,-0.0,1.0,-0.0,-0.0,1.0,-0.0,-2.0,-0.0,1.0,0.0,-0.0,-0.0,0.0,2.0,-0.0,-0.0,-1.0,1.0,1.0,-0.0,0.0,-1.0,-2.0,1.0,0.0,1.0,-941.0,-38.804437079429626
0.0,1.0,1.0,-1.0,0.0,-0.0,0.0,-1.0,-0.0,0.0,1.0,-0.0,-2.0,1.0,1.0,2.0,-1.0,1.0,0.0,-1.0,-0.0,0.0,0.0,2.0,-0.0,-0.0,1.0,0.0,-2.0,1.0,-0.0,8.0,59.0,118.84244764328002
-1.0,1.0,-2.0,-1.0,0.0,1.0,1.0,1.0,1.0,-0.0,-1.0,0.0,0.0,1.0,-0.0,-0.0,0.0,0.0,-1.0,-2.0,-0.0,-0.0,2.0,0.0,-0.0,0.0,-0.0,1.0,1.0,1.0,0.0,11.0,-582.0,30.670406507849695
1.0,1.0,-1.0,-1.0,-0.0,-0.0,3.0,3.0,-0.0,0.0,0.0,0.0,-1.0,-0.0,1.0,1.0,-2.0,0.0,1.0,-2.0,0.0,2.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,10.0,-795.0,11.888840446919202
0.0,1.0,-1.0,1.0,-0.0,0.0,0.0,-1.0,1.0,0.0,-1.0,0.0,0.0,-0.0,-0.0,-1.0,0.0,0.0,-1.0,1.0,0.0,-0.0,0.0,1.0,-0.0,0.0,0.0,-1.0,0.0,1.0,0.0,1.0,-503.0,28.188784051537514
2.0,1.0,-0.0,0.0,1.0,-0.0,0.0,1.0,1.0,0.0,-2.0,0.0,-2.0,1.0,-0.0,-1.0,-0.0,-0.0,1.0,1.0,2.0,-0.0,2.0,-0.0,-0.0,0.0,-0.0,2.0,-1.0,1.0,-0.0,3.0,-811.0,6.097539787888527
-2.0,1.0,1.0,1.0,2.0,0.0,-0.0,-1.0,0.0,0.0,-1.0,-0.0,-0.0,1.0,1.0,1.0,-1.0,-0.0,-1.0,0.0,-0.0,-2.0,1.0,-1.0,0.0,-0.0,-0.0,1.0,1.0,1.0,0.0,4.0,-239.0,-27.158455362915994
1.0,1.0,-1.0,-1.0,0.0,0.0,-0.0,0.0,1.0,-0.0,0.0,2.0,-1.0,2.0,-0.0,-2.0,1.0,-0.0,0.0,2.0,0.0,-0.0,1.0,1.0,0.0,-0.0,0.0,-2.0,-1.0,1.0,0.0,-5.0,-165.0,25.978549733757973
-1.0,1.0,-2.0,0.0,-0.0,-0.0,-0.0,-2.0,-0.0,-0.0,0.0,-0.0,1.0,0.0,1.0,-1.0,-0.0,-0.0,-2.0,1.0,0.0,-0.0,1.0,0.0,-0.0,1.0,-0.0,3.0,-3.0,1.0,0.0,9.0,-356.0,67.33204255580902
-2.0,1.0,1.0,-1.0,-0.0,0.0,0.0,0.0,1.0,0.0,-0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,-1.0,-0.0,0.0,-0.0,3.0,-1.0,0.0,0.0,0.0,-1.0,-1.0,1.0,0.0,-3.0,112.0,85.74387373209
-1.0,1.0,-0.0,0.0,0.0,1.0,-0.0,0.0,2.0,0.0,-0.0,-0.0,1.0,-1.0,-1.0,-1.0,-1.0,0.0,-2.0,-0.0,-0.0,-0.0,-0.0,1.0,0.0,0.0,0.0,-1.0,0.0,1.0,1.0,3.0,444.0,31.182516189813615
-1.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-0.0,-2.0,1.0,-0.0,0.0,0.0,-1.0,1.0,0.0,-0.0,-1.0,-3.0,0.0,-0.0,1.0,-0.0,4.0,1.0,0.0,11.0,-82.0,-42.93941014289856
0.0,1.0,1.0,-0.0,1.0,0.0,-0.0,1.0,1.0,-0.0,0.0,1.0,1.0,-1.0,0.0,-1.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-1.0,-2.0,-0.0,-0.0,0.0,1.0,-1.0,1.0,0.0,6.0,-282.0,-11.880322460979222
-0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,-1.0,0.0,2.0,-1.0,-1.0,-2.0,0.0,0.0,-2.0,0.0,0.0,0.0,-3.0,-2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3.0,-171.0,-59.79611979365349
-0.0,1.0,-0.0,2.0,0.0,0.0,-0.0,1.0,2.0,0.0,1.0,-0.0,-0.0,-1.0,-1.0,0.0,0.0,1.0,1.0,0.0,-0.0,-2.0,-2.0,-0.0,0.0,-0.0,0.0,-1.0,-1.0,1.0,-0.0,-3.0,168.0,-51.575964970588686
-2.0,1.0,1.0,-2.0,-0.0,0.0,-0.0,3.0,2.0,0.0,1.0,-0.0,-1.0,0.0,-1.0,2.0,-1.0,0.0,-1.0,1.0,0.0,-1.0,2.0,-1.0,0.0,0.0,0.0,-0.0,-1.0,1.0,0.0,-2.0,-399.0,58.59068174004555
1.0,1.0,-1.0,-1.0,0.0,-0.0,1.0,-0.0,2.0,0.0,-0.0,-0.0,-1.0,2.0,-1.0,2.0,-1.0,0.0,1.0,0.0,0.0,-1.0,-1.0,2.0,-0.0,0.0,0.0,-0.0,1.0,1.0,0.0,2.0,-477.0,-17.420911630988122
-1.0,1.0,-1.0,-3.0,0.0,-0.0,0.0,-2.0,1.0,0.0,-2.0,2.0,2.0,0.0,0.0,-1.0,0.0,0.0,-1.0,2.0,-0.0,-1.0,2.0,2.0,-0.0,0.0,-0.0,1.0,-0.0,1.0,0.0,3.0,-1444.0,119.40001426935196
1.0,1.0,1.0,-1.0,-0.0,0.0,0.0,1.0,-1.0,0.0,-1.0,0.0,-2.0,-1.0,2.0,-1.0,-1.0,-0.0,-2.0,2.0,-0.0,-1.0,0.0,1.0,-0.0,0.0,0.0,-1.0,3.0,1.0,-0.0,-8.0,-558.0,77.1824149942398
2.0,1.0,-0.0,1.0,-0.0,0.0,0.0,-3.0,1.0,-0.0,2.0,-0.0,-0.0,-0.0,0.0,-1.0,-1.0,-0.0,-0.0,-2.0,-0.0,-1.0,-2.0,-0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0,289.0,-78.44519948840141
0.0,1.0,1.0,-1.0,-0.0,0.0,0.0,1.0,1.0,-0.0,-0.0,0.0,-1.0,-0.0,-0.0,-0.0,-2.0,-0.0,-2.0,-1.0,0.0,2.0,1.0,2.0,-0.0,-0.0,0.0,-1.0,-1.0,1.0,-0.0,10.0,-346.0,90.14573753595351
-2.0,1.0,1.0,1.0,0.0,0.0,0.0,-2.0,-1.0,0.0,-1.0,0.0,-2.0,2.0,2.0,1.0,0.0,-0.0,-1.0,1.0,-0.0,-2.0,2.0,-1.0,-0.0,0.0,1.0,2.0,2.0,1.0,0.0,2.0,297.0,59.8075447845459
0.0,1.0,1.0,0.0,-0.0,-0.0,0.0,-0.0,-1.0,1.0,1.0,0.0,-1.0,-1.0,2.0,-1.0,1.0,-0.0,0.0,2.0,0.0,-2.0,-1.0,1.0,-0.0,0.0,-0.0,-3.0,1.0,1.0,0.0,3.0,547.0,-19.24329765468836
3.0,1.0,-2.0,-1.0,-0.0,0.0,-0.0,1.0,2.0,0.0,2.0,0.0,-1.0,2.0,-1.0,-2.0,0.0,-0.0,2.0,1.0,-0.0,-2.0,1.0,1.0,-0.0,-0.0,-0.0,0.0,0.0,1.0,-0.0,-9.0,-933.0,4.318380466401577
2.0,1.0,-0.0,1.0,0.0,-0.0,1.0,1.0,2.0,-0.0,-1.0,0.0,-1.0,2.0,-0.0,-2.0,-1.0,0.0,-1.0,-1.0,0.0,-1.0,2.0,-2.0,-0.0,1.0,0.0,2.0,-1.0,1.0,0.0,-3.0,166.0,-4.434685274064541
-1.0,1.0,-0.0,-1.0,0.0,1.0,0.0,-0.0,-0.0,0.0,1.0,0.0,-0.0,1.0,1.0,-0.0,1.0,0.0,-0.0,-0.0,0.0,-1.0,0.0,0.0,0.0,0.0,1.0,-2.0,1.0,1.0,-0.0,-8.0,-587.0,43.36916391313076
0.0,1.0,2.0,-1.0,0.0,1.0,-0.0,-2.0,-1.0,0.0,0.0,0.0,-0.0,0.0,2.0,-0.0,0.0,3.0,1.0,-1.0,-0.0,-2.0,3.0,-2.0,-0.0,0.0,0.0,0.0,-1.0,1.0,-0.0,1.0,766.0,129.17543827533723
-1.0,1.0,3.0,-2.0,0.0,0.0,0.0,-2.0,1.0,0.0,-0.0,-0.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,1.0,-0.0,-1.0,1.0,-1.0,-0.0,-0.0,-0.0,-0.0,2.0,1.0,-0.0,6.0,66.0,36.54256574034691
-1.0,1.0,-1.0,-2.0,-0.0,0.0,0.0,0.0,1.0,-0.0,0.0,0.0,0.0,2.0,-0.0,0.0,1.0,1.0,0.0,-1.0,0.0,-0.0,-0.0,2.0,0.0,-0.0,0.0,0.0,-1.0,1.0,-0.0,-7.0,-1954.0,91.6542054772377
-2.0,1.0,1.0,-0.0,0.0,0.0,0.0,-2.0,-0.0,-0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,-0.0,-0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.0,0.0,1.0,0.0,3.0,-336.0,78.28208728671073
