Smoother_GS,CGS,Smoother_JAC,Smoother,Smoother_GSRB,Smoother_GSRBAC,CGS_IP_CG,Smoother_GSACBE,CGS_IP_AMG,CGS_RED_AMG,Smoother_GSAC,numCore,post,pre,performance
-0.0,1.0,-0.0,1.0,1.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,1598.0,-2.0,2.0,116.84911842737348
-0.0,1.0,0.0,1.0,-0.0,1.0,1.0,0.0,0.0,0.0,0.0,3523.0,1.0,1.0,-51.24989776029252
1.0,1.0,-0.0,1.0,0.0,-0.0,0.0,0.0,1.0,-0.0,-0.0,2486.0,3.0,-0.0,233.18531147670004
-0.0,1.0,-0.0,1.0,0.0,1.0,-0.0,-0.0,1.0,-0.0,-0.0,327.0,-1.0,4.0,191.6666105659679
0.0,1.0,0.0,1.0,-0.0,1.0,0.0,0.0,-0.0,1.0,0.0,4297.0,0.0,4.0,125.27665519285948
-0.0,1.0,-0.0,1.0,-0.0,0.0,-0.0,1.0,-0.0,1.0,0.0,-100.0,3.0,3.0,2024.8047307223082
-0.0,1.0,1.0,1.0,0.0,0.0,1.0,-0.0,-0.0,-0.0,-0.0,817.0,2.0,3.0,309.7869452983141
-0.0,1.0,-0.0,1.0,-0.0,-0.0,1.0,1.0,0.0,-0.0,-0.0,2839.0,2.0,2.0,1681.4090604901314
-0.0,1.0,-0.0,1.0,-0.0,-0.0,1.0,1.0,0.0,0.0,-0.0,214.0,2.0,3.0,2102.930431848765
-0.0,1.0,1.0,1.0,-0.0,0.0,1.0,-0.0,0.0,-0.0,0.0,1275.0,1.0,6.0,310.3286822918803
-0.0,1.0,0.0,1.0,-0.0,-0.0,1.0,1.0,0.0,-0.0,0.0,147.0,4.0,3.0,2518.952207967639
-0.0,1.0,1.0,1.0,-0.0,-0.0,1.0,0.0,0.0,0.0,-0.0,344.0,-1.0,4.0,181.36802226416768
-0.0,1.0,-0.0,1.0,-0.0,1.0,-0.0,-0.0,0.0,1.0,-0.0,572.0,2.0,2.0,174.13355500567707
-0.0,1.0,-0.0,1.0,1.0,-0.0,0.0,-0.0,0.0,1.0,-0.0,-24.0,-1.0,2.0,175.41700682900847
-0.0,1.0,-0.0,1.0,-0.0,-0.0,-0.0,1.0,0.0,1.0,-0.0,2062.0,1.0,6.0,2662.5782587468625
-0.0,1.0,-0.0,1.0,0.0,-0.0,0.0,-0.0,-0.0,1.0,1.0,105.0,0.0,-0.0,-105.21785777658225
-0.0,1.0,0.0,1.0,1.0,-0.0,1.0,0.0,-0.0,-0.0,0.0,-37.0,1.0,2.0,124.25954292276876
-0.0,1.0,-0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,-0.0,2719.0,0.0,0.0,67.13914336920716
1.0,1.0,0.0,1.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.0,-0.0,5401.0,-4.0,6.0,-42.961271801125264
0.0,1.0,0.0,1.0,-0.0,0.0,0.0,1.0,1.0,-0.0,-0.0,2623.0,5.0,6.0,3026.4640816509727
-0.0,1.0,-0.0,1.0,1.0,0.0,0.0,-0.0,1.0,-0.0,0.0,4517.0,1.0,2.0,394.3736225407571
0.0,1.0,0.0,1.0,-0.0,1.0,1.0,-0.0,-0.0,-0.0,-0.0,1204.0,3.0,4.0,286.4328295942396
1.0,1.0,-0.0,1.0,-0.0,0.0,1.0,-0.0,-0.0,-0.0,-0.0,737.0,3.0,5.0,318.0153395842761
0.0,1.0,-0.0,1.0,-0.0,0.0,0.0,0.0,0.0,1.0,0.0,-357.0,0.0,3.0,332.1666747692973
-0.0,1.0,-0.0,1.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0,1.0,63.0,-2.0,6.0,112.90873280121015
-0.0,1.0,-0.0,1.0,2.0,-0.0,-0.0,-0.0,-0.0,1.0,-0.0,-582.0,3.0,4.0,53.71943321567961
-0.0,1.0,-0.0,1.0,-0.0,1.0,0.0,-0.0,-0.0,1.0,-0.0,379.0,4.0,0.0,40.807189957611264
-0.0,1.0,1.0,1.0,-0.0,-0.0,1.0,-0.0,-0.0,-0.0,-0.0,799.0,-0.0,1.0,54.934799375105655
-0.0,1.0,-0.0,1.0,-0.0,-0.0,1.0,-0.0,-0.0,-0.0,1.0,-358.0,5.0,2.0,169.9679424783215
-0.0,1.0,0.0,1.0,-0.0,-0.0,-0.0,0.0,1.0,-0.0,1.0,1101.0,4.0,0.0,329.82027252577245
0.0,1.0,0.0,1.0,-0.0,-0.0,0.0,1.0,0.0,1.0,0.0,382.0,-2.0,3.0,737.4568038582803
-0.0,1.0,-0.0,1.0,1.0,-0.0,0.0,-0.0,1.0,-0.0,-0.0,616.0,4.0,3.0,316.00078687481584
0.0,1.0,0.0,1.0,-0.0,-0.0,1.0,-0.0,-0.0,0.0,1.0,3695.0,-1.0,5.0,179.1191438175738
0.0,1.0,-0.0,1.0,1.0,0.0,0.0,0.0,-0.0,1.0,0.0,-4.0,4.0,-1.0,53.919660839904104
