ResizePLAB,UseAdaptiveSizePolicyWithSystemGC,UseAdaptiveSizePolicy,UseAdaptiveGCBoundary,CollectGenFirst,UseAdaptiveSizePolicyFootprintGoal,ResizeOldPLAB,UseAdaptiveSizeDecayMajorGCCost,DisableExplicitGC,UseAdaptiveGenerationSizePolicyAtMajorCollection,UseAdaptiveGenerationSizePolicyAtMinorCollection,BindGCTaskThreadsToCPUs,XX:TargetPLABWastePct,XX:AdaptiveSizePolicyWeight,XX:AdaptiveSizeDecrementScaleFactor,XX:AdaptiveSizePolicyCollectionCostMargin,XX:YoungGenerationSizeSupplement,XX:TenuredGenerationSizeSupplementDecay,XX:SurvivorRatio,XX:SurvivorPadding,XX:TargetSurvivorRatio,XX:TenuredGenerationSizeSupplement,XX:MinSurvivorRatio,XX:MaxTenuringThreshold,XX:TenuredGenerationSizeIncrement,XX:PLABWeight,XX:YoungGenerationSizeIncrement,XX:MinHeapFreeRatio,XX:AdaptiveSizePolicyInitializingSteps,XX:MaxHeapFreeRatio,XX:NewRatio,XX:YoungPLABSize,XX:YoungGenerationSizeSupplementDecay,XX:OldPLABSize,XX:AdaptiveSizeMajorGCDecayTimeScale,performance
0.0,-1.0,-1.0,0.0,-1.0,3.0,3.0,-2.0,-3.0,-1.0,1.0,1.0,-2.0,13.0,-30.0,112.0,78.0,20.0,49.0,20.0,6.0,89.0,3.0,25.0,-24.0,25.0,35.0,4.0,16.0,80.0,22.0,2722.0,3.0,-1761.0,6.0,1041.1843543313444
1.0,-2.0,-1.0,0.0,1.0,0.0,3.0,-0.0,1.0,-0.0,-1.0,0.0,-7.0,1.0,-24.0,-42.0,78.0,22.0,36.0,15.0,74.0,117.0,9.0,69.0,21.0,78.0,-44.0,113.0,-42.0,80.0,-15.0,-1945.0,26.0,2398.0,0.0,362.5230010682717
-0.0,1.0,1.0,1.0,-1.0,-2.0,1.0,-1.0,0.0,3.0,-2.0,2.0,-3.0,25.0,-19.0,27.0,79.0,-10.0,71.0,17.0,23.0,85.0,2.0,8.0,24.0,81.0,56.0,24.0,-157.0,42.0,-3.0,-1684.0,22.0,-131.0,-8.0,242.80756929609925
2.0,-1.0,-2.0,1.0,1.0,1.0,-1.0,-2.0,-0.0,-0.0,-0.0,0.0,4.0,0.0,25.0,57.0,90.0,-11.0,-9.0,-15.0,12.0,59.0,5.0,28.0,-22.0,77.0,73.0,-13.0,-164.0,71.0,3.0,7689.0,20.0,-2295.0,9.0,2733.582984626293
-2.0,1.0,-1.0,1.0,-0.0,2.0,-1.0,-1.0,1.0,-2.0,-1.0,-1.0,25.0,22.0,45.0,-3.0,88.0,-10.0,3.0,15.0,81.0,55.0,2.0,18.0,41.0,62.0,72.0,-25.0,8.0,45.0,-3.0,9806.0,2.0,290.0,12.0,526.2219538819045
-0.0,2.0,-0.0,2.0,1.0,0.0,1.0,-1.0,1.0,1.0,-1.0,-0.0,-7.0,39.0,8.0,48.0,90.0,-10.0,3.0,-1.0,100.0,85.0,-7.0,-34.0,46.0,64.0,93.0,85.0,-32.0,26.0,-16.0,-13914.0,16.0,-930.0,-6.0,-182.26912101451308
1.0,-2.0,2.0,0.0,-1.0,-1.0,-3.0,1.0,-0.0,1.0,1.0,-2.0,26.0,-9.0,-33.0,105.0,106.0,-31.0,22.0,11.0,41.0,57.0,-6.0,1.0,-56.0,92.0,65.0,-67.0,-181.0,53.0,-9.0,-26.0,-1.0,-2621.0,-0.0,206.48622725252062
-0.0,0.0,-2.0,1.0,-1.0,-1.0,1.0,2.0,1.0,0.0,-2.0,-3.0,34.0,-24.0,-46.0,74.0,112.0,-1.0,-26.0,-5.0,-3.0,91.0,-10.0,-8.0,-9.0,90.0,18.0,29.0,35.0,100.0,6.0,16967.0,-4.0,1.0,22.0,2800.561569355428
-1.0,-0.0,-2.0,-1.0,-2.0,-1.0,2.0,0.0,-2.0,1.0,-0.0,1.0,-0.0,23.0,13.0,131.0,66.0,6.0,0.0,-15.0,-10.0,64.0,7.0,-10.0,19.0,71.0,77.0,13.0,31.0,90.0,51.0,3405.0,11.0,122.0,8.0,5081.536625742912
1.0,1.0,-0.0,0.0,2.0,1.0,-0.0,-1.0,-1.0,-1.0,-1.0,0.0,4.0,31.0,-20.0,15.0,102.0,-21.0,4.0,-1.0,100.0,88.0,-7.0,16.0,3.0,39.0,115.0,53.0,-151.0,5.0,-22.0,-8467.0,13.0,-392.0,-11.0,323.1866362057626
