wlt,ae,msca,ipc,lro,pra,awlf,wlpg,wlflt,rnb,wlur,cf,dfr,dpa,cwle,saa,ls,wlprop,cyc,disabledOptimizations,wls,lur,lus,ucts,cts,scyc,ivecyc,cse,ivesli,sde,rip,dl,ive,prfunr,wlsd,dr,wlsimp,phm,enabledOptimizations,rco,wlf,cp,uip,lir,extrema,saacyc,dcr,inl,srf,lao,vp,as,maxoptcyc,maxwlur,maxprfur,initwheap,maxae,maxlur,initmheap,performance
0.0,-1.0,-2.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-2.0,0.0,-1.0,0.0,0.0,-1.0,-3.0,0.0,0.0,-0.0,1.0,1.0,-3.0,0.0,2.0,-1.0,-1.0,1.0,1.0,-0.0,-1.0,-0.0,0.0,3.0,2.0,-0.0,-0.0,0.0,-0.0,1.0,0.0,1.0,2.0,2.0,1.0,-1.0,0.0,0.0,-1.0,1.0,-3.0,2.0,0.0,28.0,35.0,11.0,-1387.0,-4.0,10.0,1562.0,-22.353287264704704
2.0,0.0,2.0,-2.0,-0.0,0.0,-1.0,-1.0,2.0,-0.0,3.0,1.0,-0.0,-0.0,-0.0,-1.0,-0.0,-2.0,0.0,1.0,0.0,2.0,1.0,1.0,-0.0,0.0,-0.0,1.0,-1.0,-2.0,1.0,0.0,2.0,1.0,-0.0,-0.0,-0.0,0.0,1.0,0.0,-1.0,-2.0,0.0,0.0,1.0,0.0,-2.0,-0.0,-1.0,1.0,-1.0,0.0,21.0,-2.0,-49.0,-1952.0,39.0,14.0,-5.0,-101.07884785532951
0.0,1.0,-1.0,-2.0,1.0,0.0,-3.0,0.0,-3.0,1.0,-1.0,-0.0,0.0,0.0,1.0,-1.0,-0.0,2.0,-2.0,1.0,2.0,1.0,-0.0,1.0,-3.0,1.0,-1.0,-1.0,0.0,1.0,1.0,0.0,0.0,1.0,-0.0,0.0,0.0,-0.0,1.0,0.0,2.0,2.0,1.0,-1.0,2.0,0.0,0.0,-2.0,-1.0,-0.0,0.0,0.0,-1.0,-1.0,-17.0,1117.0,13.0,-2.0,-5642.0,11.17464572377503
-1.0,2.0,-1.0,-0.0,-1.0,-0.0,3.0,1.0,1.0,1.0,0.0,2.0,-0.0,0.0,1.0,-1.0,-0.0,-2.0,-1.0,1.0,1.0,1.0,-2.0,-0.0,-1.0,1.0,0.0,-1.0,-1.0,-0.0,-0.0,-0.0,1.0,-0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-2.0,-1.0,-0.0,1.0,-0.0,-1.0,-0.0,1.0,-2.0,2.0,0.0,-8.0,-8.0,-13.0,908.0,6.0,40.0,34574.0,4.279832723317668
1.0,2.0,1.0,-1.0,-2.0,0.0,-0.0,1.0,0.0,1.0,1.0,2.0,2.0,0.0,-1.0,2.0,-0.0,-2.0,1.0,1.0,-0.0,1.0,1.0,2.0,1.0,-2.0,-1.0,-1.0,-1.0,1.0,-1.0,-0.0,-0.0,1.0,-0.0,-0.0,-0.0,1.0,1.0,-0.0,-0.0,-1.0,-1.0,2.0,-2.0,-0.0,-1.0,1.0,-2.0,1.0,-1.0,-0.0,3.0,4.0,-10.0,-98.0,-0.0,-12.0,5814.0,1.1133789459709078
-1.0,0.0,-1.0,0.0,-0.0,0.0,2.0,1.0,1.0,0.0,-0.0,-1.0,-0.0,-0.0,-0.0,1.0,-0.0,-1.0,3.0,1.0,-1.0,1.0,0.0,0.0,1.0,1.0,-1.0,1.0,1.0,-0.0,-0.0,1.0,1.0,-2.0,0.0,-0.0,0.0,0.0,1.0,0.0,-2.0,-1.0,1.0,-0.0,-1.0,0.0,2.0,-1.0,-1.0,-2.0,-0.0,0.0,-43.0,-60.0,-22.0,-345.0,-2.0,-5.0,600.0,72.79027912020683
-0.0,-1.0,-1.0,-1.0,1.0,-0.0,1.0,1.0,-2.0,1.0,-1.0,2.0,-0.0,-0.0,1.0,1.0,-0.0,1.0,-1.0,-0.0,-2.0,-1.0,2.0,0.0,-1.0,0.0,-2.0,-2.0,-1.0,0.0,1.0,0.0,-1.0,-0.0,2.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-1.0,-2.0,-1.0,2.0,2.0,-2.0,2.0,2.0,-1.0,-0.0,0.0,23.0,3.0,-14.0,-1342.0,8.0,-11.0,22686.0,-83.31321286410093
-0.0,-1.0,-3.0,1.0,0.0,0.0,2.0,-0.0,-1.0,1.0,2.0,0.0,0.0,0.0,0.0,-1.0,-0.0,1.0,-1.0,1.0,1.0,0.0,2.0,0.0,-1.0,-1.0,-0.0,-0.0,-0.0,-0.0,-1.0,-0.0,2.0,-2.0,0.0,-0.0,0.0,-0.0,1.0,-0.0,1.0,1.0,-2.0,-1.0,-0.0,-0.0,1.0,-1.0,2.0,-0.0,1.0,0.0,-10.0,35.0,-10.0,-300.0,-6.0,1.0,26507.0,63.707071635872126
2.0,0.0,1.0,-1.0,2.0,0.0,1.0,-4.0,4.0,-1.0,-1.0,-1.0,-0.0,-0.0,1.0,1.0,-0.0,-1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,-1.0,-2.0,1.0,0.0,-1.0,0.0,-1.0,-0.0,0.0,0.0,1.0,0.0,1.0,-0.0,-2.0,0.0,0.0,-1.0,-2.0,-0.0,-1.0,0.0,-1.0,1.0,-1.0,-0.0,-5.0,-3.0,-21.0,39.0,13.0,-14.0,-2068.0,-37.89932554960251
-0.0,1.0,-2.0,-2.0,1.0,-0.0,-1.0,1.0,1.0,-2.0,0.0,1.0,0.0,-0.0,-1.0,1.0,0.0,1.0,-0.0,1.0,-0.0,-1.0,0.0,2.0,-2.0,-2.0,-1.0,2.0,1.0,2.0,1.0,0.0,1.0,1.0,-0.0,-0.0,0.0,-0.0,1.0,-0.0,-2.0,-0.0,-1.0,1.0,0.0,0.0,-0.0,-1.0,2.0,-0.0,-0.0,0.0,43.0,29.0,2.0,1537.0,-11.0,5.0,10999.0,-15.965251203626394
-0.0,-2.0,-1.0,0.0,1.0,0.0,2.0,-0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-0.0,0.0,1.0,1.0,1.0,-0.0,0.0,1.0,-2.0,-1.0,-0.0,-0.0,0.0,-1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.0,1.0,0.0,1.0,-2.0,1.0,-1.0,2.0,0.0,0.0,-1.0,1.0,1.0,0.0,0.0,-30.0,0.0,-16.0,3049.0,19.0,0.0,-6710.0,-3.044295075815171
-0.0,0.0,-1.0,-2.0,-2.0,0.0,-0.0,0.0,-1.0,-0.0,1.0,0.0,0.0,-0.0,-3.0,-0.0,-0.0,1.0,2.0,1.0,-0.0,0.0,3.0,1.0,1.0,-1.0,2.0,1.0,-1.0,2.0,-1.0,0.0,-0.0,-1.0,1.0,0.0,1.0,0.0,1.0,0.0,-0.0,2.0,-2.0,-2.0,-1.0,0.0,1.0,0.0,1.0,-1.0,2.0,0.0,8.0,-10.0,-62.0,397.0,17.0,-4.0,3199.0,58.01596503332257
